[header]
width=400
height=400
tilewidth=64
tileheight=32
orientation=isometric
background_color=0,0,0,255
music=music/cave_theme.ogg
tileset=tilesetdefs/tileset_cave.txt
title=New Cave Map

[tilesets]
tileset=../cave/tiled_collision.png,64,32,0,0
tileset=../cave/tiled_cave.png,64,128,0,0
tileset=../cave/set_rules.png,64,32,0,0
tileset=../cave/tiled_cave_2x2.png,128,64,0,16
tileset=../common/boss_chest.png,64,64,0,0

[layer]
type=automap
data=
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,258,258,258,260,260,260,258,258,260,260,260,258,258,258,258,258,258,260,260,260,258,258,260,260,260,258,258,258,258,258,258,260,260,260,260,258,258,258,258,258,258,260,260,260,258,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,258,258,258,258,258,258,258,260,260,260,260,260,260,260,258,258,258,258,258,260,260,260,260,258,258,258,258,258,260,260,260,260,260,260,260,258,258,260,260,260,260,260,258,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,258,258,258,260,260,260,258,258,258,258,258,260,260,260,260,260,258,258,258,258,258,258,260,260,260,260,260,260,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,260,260,258,260,260,260,260,258,260,260,260,258,260,260,260,260,258,260,260,260,258,260,260,260,260,258,260,260,260,258,260,260,260,260,258,258,260,260,260,260,258,258,258,258,258,260,260,260,260,260,260,260,258,258,258,260,260,260,258,260,260,260,258,260,260,260,258,260,260,260,260,260,258,260,260,260,260,260,260,258,258,260,260,260,258,258,260,260,260,258,260,260,260,258,258,258,258,260,260,260,260,258,260,260,260,260,258,258,258,260,260,260,258,260,260,260,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,260,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,260,260,260,260,258,260,260,260,258,260,260,260,258,258,258,260,260,260,260,260,260,260,260,258,258,260,260,260,260,260,258,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,260,260,258,258,260,260,260,258,260,260,260,260,260,260,260,260,258,260,260,260,258,260,260,260,258,258,260,260,260,258,260,260,260,260,258,260,260,260,260,260,258,260,260,260,258,260,260,260,260,260,260,260,260,258,260,260,260,260,258,260,260,260,258,258,258,258,258,260,260,260,260,260,258,258,260,260,260,258,258,258,260,260,260,260,260,258,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,258,260,260,260,258,258,260,260,260,260,260,258,260,260,260,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,260,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,260,260,260,260,258,260,260,260,258,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,258,260,260,260,260,260,258,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,260,260,260,258,260,260,260,258,258,260,260,260,260,260,260,260,258,258,258,258,258,260,260,260,258,260,260,260,260,258,260,260,260,260,258,260,260,260,260,260,258,260,260,260,258,258,258,260,260,260,260,260,260,260,260,260,260,260,258,260,260,260,260,260,260,260,258,260,260,260,260,260,260,258,258,258,258,258,260,260,260,260,260,260,260,258,260,260,260,258,260,260,260,260,260,260,260,258,260,260,260,258,260,260,260,260,260,260,260,260,260,260,258,260,260,260,260,258,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,260,260,260,260,260,260,258,258,258,258,260,260,260,260,260,260,260,260,260,260,260,258,258,260,260,260,260,260,260,258,258,258,258,258,260,260,260,260,260,258,258,258,260,260,260,260,260,260,260,258,258,258,260,260,260,258,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,260,260,260,258,260,260,260,260,258,258,258,260,260,260,258,258,258,260,260,260,258,258,258,258,258,260,260,260,258,258,260,260,260,260,258,260,260,260,260,260,258,260,260,260,260,260,258,258,258,258,258,258,260,260,260,260,260,260,258,260,260,260,260,260,260,260,258,258,260,260,260,260,260,258,260,260,260,258,260,260,260,260,260,260,260,258,260,260,260,258,258,260,260,260,260,260,260,258,260,260,260,258,258,258,260,260,260,260,260,260,258,258,258,258,260,260,260,260,260,258,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,260,260,260,260,260,260,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,260,260,258,260,260,260,260,258,258,258,258,260,260,260,258,258,260,260,260,260,260,260,258,258,258,258,260,260,260,260,260,260,258,258,258,258,258,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,260,260,260,258,258,260,260,260,260,260,258,258,258,258,258,260,260,260,260,260,258,260,260,260,260,260,260,260,258,260,260,260,260,258,258,258,258,260,260,260,258,258,260,260,260,260,260,258,260,260,260,258,258,260,260,260,260,260,258,260,260,260,260,260,260,260,260,258,260,260,260,260,260,258,260,260,260,258,260,260,260,260,260,260,260,258,260,260,260,260,258,258,258,258,260,260,260,260,260,260,260,260,260,258,260,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,258,260,260,260,258,258,260,260,260,260,260,260,260,260,260,258,258,260,260,260,258,258,260,260,260,260,260,260,260,258,258,258,260,260,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,258,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,260,260,260,260,258,260,260,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,260,258,258,260,260,260,258,258,258,258,258,258,260,260,260,260,258,258,260,260,260,258,258,260,260,260,258,258,260,260,260,260,260,258,258,258,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,260,258,258,258,260,260,260,260,258,260,260,260,258,260,260,260,260,260,258,260,260,260,260,260,260,260,260,260,260,260,260,260,260,258,258,258,260,260,260,260,260,260,260,260,260,258,260,260,260,260,258,258,258,258,260,260,260,260,258,258,258,260,260,260,260,258,260,260,260,260,260,260,260,260,260,260,258,258,258,260,260,260,260,260,258,258,260,260,260,260,260,260,260,260,258,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
